,Title,info,Rating,Views,Description,Price
0,The Blue Umbrella,"English, Paperback, Bond Ruskin",4.5,"(12,806)"," The Blue Umbrella is a stirring novel about the simple yet generous minds of children by the author Ruskin Bond.  Summary Of The book  The Blue Umbrella is a novel set in the mountainous Gharwal region. The story is about a little girl called Binya, who on falling upon a group of picnickers, is enchanted by a beautiful blue umbrella belonging to one of them. Incidentally, one of the ladies in the group takes a liking to Binya’s leopard claw necklace and offers to buy it from her. When Binya refuses, she is asked to choose anything that she would like in return for it and she chooses the blue umbrella. After much pleading, the lady consents to her wish and Binya becomes the proud owner of the umbrella.  	But, what happens when the village shopkeeper sets his eyes on the very same umbrella and decides to have it for himself? Binya’s precious umbrella becomes the source of envy to him and he tries his utmost to get it from her. What follows is a story of greed, ignominy and kindness.  	The book was adapted into a movie called The Blue Umbrella in 2005 and which was later awarded the National Film Award for Best Children’s Film.  About Ruskin Bond  	Ruskin Bond is a famous Indian writer, known especially for his children’s fiction. He has authored more than 300 stories, essays and novels.  	His other novels are A Flight of Pigeons, Vagrants in the Valley, Angry River, The India I Love and Roads to Mussoorie. Some of his short story collections are A Town Called Dehra, The Night Train at Deoli and Tigers Forever.  	He was born in 1934 in Kasauli and spent the major part of his childhood in Jamnagar, Shimla and Dehradun. He went to Bishop Cotton School in Shimla and graduated from there with numerous literary awards. Following this, he went to England and began work on his first novel, The Room on the Roof, which won him the John Llewellyn Rhys Prize. He returned to India and worked as a journalist for some time before moving to Mussoorie permanently. He received the Sahitya Akademi Award in 1992 and was awarded the prestigious Padma Shri in 1999. He has also authored two autobiographies namely Scenes from A Writer’s Life and Rain in the Mountains. A Flight of Pigeons and his short story Susanna’s Seven Husbands were also adapted into movies called Junoon and 7 Khoon Maaf respectively.",₹95
1,Everything I Never Told You,"English, Paperback, Pandey Ajay K.",4.6,"(1,587)","We can live without religion, but we cannot survive without love. Roshan and Soha were not just class-mates and neighbours, but also best friends. They wanted to be together, but the world saw them as a Hindu and a Muslim before everything else. Roshan failed to convince his father and had to let Soha go. He married Manisha with the hope of moving on, and his life unfolded with a new definition of love. When Anuj was born, theirs was a happy family. Soha walked back into his life after Roshan lost Manisha to cancer. History repeats itself after years, but this time, Roshan decides to not give up. His resolve to convince his son brings him to a point where he will have to make a choice. Will Anuj be able to see someone else in place of his mother? Will Roshan be able to choose between Anuj and Soha? Will Soha be able to set herself free of a love she has nurtured all her life? Everything I Never Told You is a burning reminder that the heart knows no restrictions, and of the boundless power of love.||About the Author: Ajay K Pandey writes from the heart and his bestselling stories have touched lakhs of people. Having authored masterpieces like You Are The Best Wife, Her Last Wish, A Girl to Remember, among others, he is back with a heart-touching story of love.",₹116
2,One Arranged Murder,"English, Paperback, Bhagat Chetan",4.6,"(14,671)","Keshav has set up an investigation agency with his best friend, Saurabh. Can the two amateur detectives successfully solve another murder case that affects them personally? And where will it leave their friendship?

Ever since you found Prerna, I lost my best friend is what I told Saurabh.
Hi, this is Keshav, and Saurabh, my best friend, flatmate, colleague and business partner, wont talk to me. Because I made fun of him and his fiance.
Saurabh and Prerna will be getting married soon. It is an arranged marriage. However, there is more cheesy romance between them than any love-marriage couple.
On Karva Chauth, she fasted for him. She didnt eat all day. In the evening, she called him and waited on the terrace for the moon and for Saurabh to break her fast. Excited, Saurabh ran up the steps of her three-storey house. But when he reached 
Welcome to One Arranged Murder, an unputdownable thriller from Indias highest-selling author. A story about love, friendship, family and crime, it will keep you entertained and hooked right till the end.",₹150
5,Life is What You Make it,"English, Paperback, Shenoy Preeti",4.3,"(20,345)"," 	A book of love, hope, and how determination can overcome even your destiny - Life is What You Make of It by Preeti Shenoy was in the “Top books of 2011” as per the Nielsen list which is published in Hindustan Times. It was also on the Times of India all-time best sellers of 2011.  Summary of the Book  	Ankita, the protagonist, is everything you want to be. She has many friends, she is a big shot in college, she’s a bright student, and she even excels at cultural events. But, not all is good in the romance department. Caught in a tangle of love, emotions, success, mental health disorders, and more, don’t you want to find out if Ankita manages to come out of all of this with her spirit intact? Life is What You Make of It is here to ensure that you get a front-row seat to Ankita’s journey through life.  About the Author  	Preeti Shenoy is one of India’s most popular authors. She has been consistently nominated for the Forbes List of the 100 Most Influential Celebrities in India. Her books have been bestsellers. Shenoy used to love reading as a child. She is also a self-taught artist who works with watercolours and oil. Some of Shenoy’s popular works include 34 Bubblegums and Candies, Life is What You Make it, The Secret Wish List, It Happens for a Reason, The One You Cannot Have, It’s All in the Planet’s, and A Hundred Little Flames.",₹109
6,The Girl Who Knew Too Much - What if the Loved One You ...,"English, Paperback, Khanna Vikrant",4.4,"(9,318)","Summary of the BookIs love strong enough to bring someone back from the dead? The Girl Who Knew Too Much is a tragic romance fiction that takes mysterious plot twists. Devastated over her mother’s death, young Akshara is left desolate and she finds comfort in solitude. The mystery begins when she meets Harry at a park and they strike a bond of friendship. Akshara is filled with hope when Harry recounts to her a story about a miraculous reunion of a young woman and her dead lover. But, she realises that Harry is not who he seems to be, and the characters in his story are seemingly dubious. In this dark suspense, Akshara faces a truth that leaves her doubting not just Harry, but herself as well.About the Author A nautical science graduate from BITS Pilani, and now a captain in the Merchant Navy, Vikrant always had a penchant for storytelling. The author of books such as When Life Tricked Me and Love Lasts Forever, Vikrant Khanna lives in New Delhi with his family. His grandmother’s death left a void until he began to come to terms with it. The Girl Who Knew Too Much tells the story of a 14-year-old girl Akshara who hears about the miraculous reunion of a young woman and her dead boyfriend and believes she will see her dead mother again.",₹154
7,The Complete Novel of Sherlock Holmes,"English, Paperback, Doyle Arthur Conan",4.5,"(3,756)","Summary of the BookThis book is a compilation of the four famous Sherlock Holmes novels known as A Study in Scarlet, The Sign of the Four, The Hound of the Baskervilles and The Valley of Fear. Sherlock Holmes has been one of the most beloved fictional characters ever created. Now enjoy the four crime novels in a single book. You will experience suspense, thrill and mystery - everything that made Sherlock Holmes stories a favourite. About the Author The master creator of Sherlock Holmes and many other short stories - Sir Arthur Ignatius Conan Doyle was a prolific British writer. His Sherlock Holmes stories are considered milestones in the field of crime fiction. Doyle’s non-Sherlockian works include fantasy and science fiction stories about Professor Challenger and humorous stories about the Napoleonic soldier Brigadier Gerard, as well as plays, romances, poetry, non-fiction and historical novels. ",₹136
8,One Indian Girl,"English, Paperback, Bhagat Chetan",4.3,"(46,836)","Summary of the BookOne Indian Girl is about a girl named Radhika Mehta who is an investment banker at Goldman Sachs. Once a nerd by nature, she is now all set to get hitched to Brijesh Gulati and arrives for her destination wedding in Goa. However, as the D-Day looms closer, she discovers that marrying Gulati is not as easy as it seems. Soon, one by one, things start to get messy and threaten to fall apart? Can Radhika get herself out of this mess or will it be the end of the road for her? Read One Indian Girl and find out. About the Author Born to an Army officer and a government servant, Chetan Bhagat’s destiny to become a writer was far from foreseen. After completing his mechanical engineering from IIT Delhi, Chetan went on to obtain his MBA from the prestigious IIM Ahmedabad. But, it wasn’t until a decade of trying to fit into the corporate way of living when Chetan decided that he needed to dedicate his life to writing. Since then, Chetan has authored several best-selling novels, such as Five Point Someone, The Girl in Room 105 and 2 States, among others. Not only did Chetan’s works inspire some hit films, such as Kai Po Che, 2 States and 3 Idiots, but they also helped him get featured in Forbes India magazine as one of the top celebrities of India (2016). ",₹115
9,"Wake Up, Life is Calling","English, Undefined, Shenoy Preeti",4.5,"(8,750)","“Wake Up, Life is Calling” is a sequel to the national bestseller, “Life is What You Make it” by the popular Indian writer, Preeti Shenoy. Ankita, the protagonist of this story, overcomes her troublesome past and starts leading a normal life. She even joins a college to pursue creative writing. With everything falling into place, Ankita doesn’t realize that trouble is slowly creeping back into her life. Will Ankita be able to beat the odds this time?About the AuthorPreeti Shenoy is one of India’s most popular authors. She has been consistently nominated for the Forbes List of the 100 Most Influential Celebrities in India. Her books have been bestsellers. Shenoy used to love reading as a child. She is also a self-taught artist who works with watercolors and oil. Some of Shenoy’s popular works include 34 Bubblegums and Candies, Life is What You Make it, The Secret Wish List, It Happens for a Reason, The One You Cannot Have, It’s All in the Planet’s, and A Hundred Little Flames.",₹110
10,Indian Polity - for Civil Services and Other State Exam...,"English, Paperback, Laxmikanth M.",4.6,"(26,683)","The book ""Indian Polity"", 6th edition is a must-read for the aspirants appearing for the Civil Services Examinations as well as the other state Services Examinations. It is conceived to cater to the requirements of not just students appearing for competitive examinations but also postgraduates, research scholars, academics and General readers who are interested in the country's political, Civil and constitutional issues. The extant chapters have been thoroughly revised and updated as per the recent developments.",₹580
11,Quantitative Aptitude for Competitive Examinations - Qu...,"English, Paperback, Aggarwal R. S.",4.4,"(46,023)","Quantitative Aptitude For Competitive Examinations comprehensively covers topics for the Quantitative Aptitude and Data Interpretation section of competitive exams like management entrance exams, job recruitment exams etc. Summary Of The Book Competitive exams, whether they are conducted to select candidates for jobs, or for admission to post graduate and doctorate courses, test the numerical aptitude of the person taking the exam. These exams test a candidate's knowledge and skill in basic arithmetic, algebra, geometry etc. They also test the Quantitative Aptitude skills of the candidate. This book is divided into two sections. The first part covers arithmetical ability. The second part covers Data Interpretation. The first part begins by taking a look at Numbers, Average, Percentage, Decimal Fractions, H.C.F. and L.C.M., Square Roots and Cube Roots. Quantitative Aptitude For Competitive Examinations also covers Problems on Numbers and Ages, Simplification, Alligations, and Logarithms. Other topics discussed include Surds and Indices, Pipes and Cistern, Chain Rule, Boats and Streams, Simple and Compound Interests, Time and Work, Partnership, Problems on Trains, and Volume and Surface Area. This text also goes into Stocks and Shares, True Discount and Banker's Discount, Games of Skill, Races, Permutations and Combination, Series, Odd Man Out, Clocks, Heights and Distances, and Calendar. The Data Interpretation part covers Tabulation and various kinds of graphs like Bar, Pie and Line Graphs. Quantitative Aptitude For Competitive Examinations covers every aspect of the numerical ability section of many competitive tests. Numerous examples have been used throughout the book to illustrate the concepts and problem solving techniques. This book gives the students or candidates a good idea about the kind of questions asked in these exams. About R. S. Aggarwal R. S. Aggarwal writes books for competitive exams. Some of the other books written by this author are Senior Secondary School Mathematics for Class-12, Mathematics for Class-8 (Paperback), Mathematics for MBA Entrance Examinations (Fully Solved), A Modern Approach To Logical Reasoning, and A Modern Approach To Verbal & Non-Verbal Reasoning. R. S. Aggarwal has written numerous books for students in school and for competitive exams. These book are known for their simple and accessible style. He studied at the Kirori Mal College, Delhi. After finishing his Master’s degree, he joined the Faculty of NAS College in Meerut. After completing his Doctorate from Delhi University, he became a Reader at NAS College. He opted for voluntary retirement in 2003.",₹465
